theta_deg,E_MeV,d2sigma
0.0,787.7551020408163,5.5
0.0,812.2448979591836,5.5
3.103448275862069,787.7551020408163,5.5
3.103448275862069,812.2448979591836,5.5
6.206896551724138,787.7551020408163,5.5
6.206896551724138,812.2448979591836,5.5
9.310344827586206,787.7551020408163,5.5
9.310344827586206,812.2448979591836,5.5
12.413793103448276,787.7551020408163,5.5
12.413793103448276,812.2448979591836,5.5
15.517241379310345,787.7551020408163,5.5
15.517241379310345,812.2448979591836,5.5
18.620689655172413,787.7551020408163,5.5
18.620689655172413,812.2448979591836,5.5
21.724137931034484,787.7551020408163,5.5
21.724137931034484,812.2448979591836,5.5
24.82758620689655,787.7551020408163,5.5
24.82758620689655,812.2448979591836,5.5
27.93103448275862,787.7551020408163,5.5
27.93103448275862,812.2448979591836,5.5
31.03448275862069,787.7551020408163,5.5
31.03448275862069,812.2448979591836,5.5
34.13793103448276,787.7551020408163,5.5
34.13793103448276,812.2448979591836,5.5
37.241379310344826,787.7551020408163,5.5
37.241379310344826,812.2448979591836,5.5
40.3448275862069,787.7551020408163,5.5
40.3448275862069,812.2448979591836,5.5
43.44827586206897,787.7551020408163,5.5
43.44827586206897,812.2448979591836,5.5
46.55172413793103,787.7551020408163,5.5
46.55172413793103,812.2448979591836,5.5
49.6551724137931,787.7551020408163,5.5
49.6551724137931,812.2448979591836,5.5
52.758620689655174,787.7551020408163,5.5
52.758620689655174,812.2448979591836,5.5
55.86206896551724,787.7551020408163,5.5
55.86206896551724,812.2448979591836,5.5
58.96551724137931,787.7551020408163,5.5
58.96551724137931,812.2448979591836,5.5
62.06896551724138,787.7551020408163,5.5
62.06896551724138,812.2448979591836,5.5
65.17241379310344,787.7551020408163,5.5
65.17241379310344,812.2448979591836,5.5
68.27586206896552,787.7551020408163,5.5
68.27586206896552,812.2448979591836,5.5
71.37931034482759,787.7551020408163,5.5
71.37931034482759,812.2448979591836,5.5
74.48275862068965,787.7551020408163,5.5
74.48275862068965,812.2448979591836,5.5
77.58620689655173,787.7551020408163,5.5
77.58620689655173,812.2448979591836,5.5
80.6896551724138,787.7551020408163,5.5
80.6896551724138,812.2448979591836,5.5
83.79310344827586,787.7551020408163,5.5
83.79310344827586,812.2448979591836,5.5
86.89655172413794,787.7551020408163,5.5
86.89655172413794,812.2448979591836,5.5
90.0,787.7551020408163,5.5
90.0,812.2448979591836,5.5
