theta_deg,50,71,92,113,134,155,176,198,219,240,261,282,303,324,345,366,387,408,429,451,472,493,514,535,556,577,598,619,640,661,682,703,725,746,767,788,809,830,851,872,893,914,935,956,978,999,1020,1041,1062,1083
0.0,3.466343e-24,6.941704e-24,1.364148e-23,2.630618e-23,4.978000e-23,9.243853e-23,1.684431e-22,3.012017e-22,5.285307e-22,9.101208e-22,1.538002e-21,2.550729e-21,4.151962e-21,6.633948e-21,1.040615e-20,1.602900e-20,2.425245e-20,3.605933e-20,5.271345e-20,7.581375e-20,1.073554e-19,1.497979e-19,2.061336e-19,2.799394e-19,3.753731e-19,4.970532e-19,6.497366e-19,8.377119e-19,1.063854e-18,1.328377e-18,1.627458e-18,1.952037e-18,2.287225e-18,2.612735e-18,2.904581e-18,3.137989e-18,3.291064e-18,3.348447e-18,3.304075e-18,3.162326e-18,2.937226e-18,2.649945e-18,2.325220e-18,1.987600e-18,1.658325e-18,1.353360e-18,1.082745e-18,8.510315e-19,6.584322e-19,5.022234e-19
3.1,1.065030e-22,2.133499e-22,4.194027e-22,8.090568e-22,1.531570e-21,2.845163e-21,5.186734e-21,9.279085e-21,1.629123e-20,2.807127e-20,4.747501e-20,7.881666e-20,1.284710e-19,2.056602e-19,3.234697e-19,5.001581e-19,7.608762e-19,1.139992e-18,1.684342e-18,2.457874e-18,3.548217e-18,5.075636e-18,7.204259e-18,1.015431e-17,1.421207e-17,1.973180e-17,2.712128e-17,3.680197e-17,4.913714e-17,6.432854e-17,8.229402e-17,1.025524e-16,1.241527e-16,1.456856e-16,1.654027e-16,1.814423e-16,1.921243e-16,1.962519e-16,1.933420e-16,1.837221e-16,1.684660e-16,1.491866e-16,1.277424e-16,1.059334e-16,8.525598e-17,6.675979e-17,5.101499e-17,3.816995e-17,2.806174e-17,2.034113e-17
6.2,2.718153e-21,5.446903e-21,1.071132e-20,2.067072e-20,3.914637e-20,7.275407e-20,1.326981e-19,2.375381e-19,4.173460e-19,7.197923e-19,1.218851e-18,2.027017e-18,3.312272e-18,5.321674e-18,8.414785e-18,1.311264e-17,2.017254e-17,3.070618e-17,4.636895e-17,6.965992e-17,1.043804e-16,1.562937e-16,2.339948e-16,3.499183e-16,5.212746e-16,7.705179e-16,1.124768e-15,1.613522e-15,2.264129e-15,3.094982e-15,4.107169e-15,5.276332e-15,6.547238e-15,7.833770e-15,9.026158e-15,1.000552e-14,1.066339e-14,1.092183e-14,1.074901e-14,1.016576e-14,9.241363e-15,8.079598e-15,6.799172e-15,5.513564e-15,4.315066e-15,3.265841e-15,2.396467e-15,1.710441e-15,1.192025e-15,8.147923e-16
9.3,5.762136e-20,1.155083e-19,2.272333e-19,4.386971e-19,8.311905e-19,1.545593e-18,2.820816e-18,5.053409e-18,8.887854e-18,1.535074e-17,2.604752e-17,4.345020e-17,7.132346e-17,1.153748e-16,1.842913e-16,2.914686e-16,4.579936e-16,7.178424e-16,1.126833e-15,1.777531e-15,2.822847e-15,4.510895e-15,7.232095e-15,1.157539e-14,1.838318e-14,2.878469e-14,4.417699e-14,6.611771e-14,9.609926e-14,1.351986e-13,1.836384e-13,2.403492e-13,3.026638e-13,3.662906e-13,4.256674e-13,4.747061e-13,5.078103e-13,5.209369e-13,5.124209e-13,4.833287e-13,4.372340e-13,3.794823e-13,3.161579e-13,2.530295e-13,1.947266e-13,1.442919e-13,1.031290e-13,7.125895e-14,4.774337e-14,3.113553e-14
12.4,1.014523e-18,2.034483e-18,4.003967e-18,7.733603e-18,1.466046e-17,2.727845e-17,4.982571e-17,8.935920e-17,1.574072e-16,2.724867e-16,4.639489e-16,7.779700e-16,1.287241e-15,2.107443e-15,3.426643e-15,5.559552e-15,9.048725e-15,1.485118e-14,2.467240e-14,4.153784e-14,7.071593e-14,1.211058e-13,2.071439e-13,3.511257e-13,5.855498e-13,9.546813e-13,1.514101e-12,2.326747e-12,3.454167e-12,4.942611e-12,6.805310e-12,9.004397e-12,1.143783e-11,1.393724e-11,1.628132e-11,1.822532e-11,1.954256e-11,2.006826e-11,1.973407e-11,1.858302e-11,1.676016e-11,1.448195e-11,1.199334e-11,9.524708e-12,7.258739e-12,5.313171e-12,3.739637e-12,2.534813e-12,1.657965e-12,1.049245e-12
15.5,1.483461e-17,2.976041e-17,5.859587e-17,1.132353e-16,2.147926e-16,3.999833e-16,7.313959e-16,1.313776e-15,2.319655e-15,4.029911e-15,6.899466e-15,1.166821e-14,1.955865e-14,3.264686e-14,5.458410e-14,9.201950e-14,1.573811e-13,2.741725e-13,4.866710e-13,8.768130e-13,1.591858e-12,2.886532e-12,5.181733e-12,9.137191e-12,1.572670e-11,2.629184e-11,4.253623e-11,6.641388e-11,9.987013e-11,1.444206e-10,2.006036e-10,2.674065e-10,3.418260e-10,4.187492e-10,4.913154e-10,5.518117e-10,5.929931e-10,6.095343e-10,5.992026e-10,5.633765e-10,5.067303e-10,4.361913e-10,3.595117e-10,2.838750e-10,2.148749e-10,1.560225e-10,1.087642e-10,7.286634e-11,4.697798e-11,2.919910e-11
18.6,1.801316e-16,3.615198e-16,7.121462e-16,1.377017e-15,2.614007e-15,4.872820e-15,8.923614e-15,1.606509e-14,2.846310e-14,4.971460e-14,8.582783e-14,1.470239e-13,2.512371e-13,4.311976e-13,7.490259e-13,1.326198e-12,2.403790e-12,4.459527e-12,8.425392e-12,1.607130e-11,3.064097e-11,5.783152e-11,1.071747e-10,1.937726e-10,3.401377e-10,5.775921e-10,9.463529e-10,1.493220e-09,2.265875e-09,3.303349e-09,4.623237e-09,6.207591e-09,7.990824e-09,9.854085e-09,1.163085e-08,1.312694e-08,1.415419e-08,1.457077e-08,1.431596e-08,1.342622e-08,1.202576e-08,1.029554e-08,8.432732e-09,6.614004e-09,4.971496e-09,3.583744e-09,2.479089e-09,1.646851e-09,1.051488e-09,6.460441e-10
21.7,1.816204e-15,3.646661e-15,7.187240e-15,1.390682e-14,2.642400e-14,4.932334e-14,9.050710e-14,1.634426e-13,2.909762e-13,5.120719e-13,8.944010e-13,1.559287e-12,2.733494e-12,4.859506e-12,8.831138e-12,1.648948e-11,3.163773e-11,6.203976e-11,1.231775e-10,2.449435e-10,4.828428e-10,9.354307e-10,1.769190e-09,3.250289e-09,5.779194e-09,9.919032e-09,1.640313e-08,2.610367e-08,3.994439e-08,5.874681e-08,8.300989e-08,1.126376e-07,1.466527e-07,1.829736e-07,2.183822e-07,2.488200e-07,2.700899e-07,2.788631e-07,2.736576e-07,2.553271e-07,2.267882e-07,1.921340e-07,1.555785e-07,1.206356e-07,8.970570e-08,6.403390e-08,4.390316e-08,2.892252e-08,1.831470e-08,1.115467e-08
24.8,1.520406e-14,3.054134e-14,6.022919e-14,1.166309e-13,2.218562e-13,4.148128e-13,7.631313e-13,1.383648e-12,2.478836e-12,4.405096e-12,7.808751e-12,1.391163e-11,2.513173e-11,4.644848e-11,8.838536e-11,1.733864e-10,3.490183e-10,7.142263e-10,1.469139e-09,3.004567e-09,6.053184e-09,1.192729e-08,2.286240e-08,4.246426e-08,7.621453e-08,1.319305e-07,2.200163e-07,3.533123e-07,5.463537e-07,8.138308e-07,1.167942e-06,1.614217e-06,2.145635e-06,2.735983e-06,3.335076e-06,3.869875e-06,4.255795e-06,4.419563e-06,4.326416e-06,3.995424e-06,3.491298e-06,2.898864e-06,2.297099e-06,1.743839e-06,1.271967e-06,8.930475e-07,6.039804e-07,3.934682e-07,2.468268e-07,1.490683e-07
