     0     0   50.000000000 2793.975557507    0.000000000   13.912044739
     0     0  100.000000000 3128.770506574    0.000000000  270.669601774
     0     1   50.000000000 2793.975557507    0.000000000    1.758393438
     0     1  100.000000000 3128.770506574    0.000000000   79.024209220
     0     2   50.000000000 2793.975557507    0.000310297    1.676510236
     0     2  100.000000000 3128.770506574    0.000000000  102.020036105
     0     3   50.000000000 2793.975557507    0.107047459    0.090891753
     0     3  100.000000000 3128.770506574    0.000000000   24.516763190
     0     4   50.000000000 2793.975557507  251.563292027    0.057930007
     0     4  100.000000000 3128.770506574    0.000000186   31.776552875
     0     5   50.000000000 2793.975557507 1621.753153409    0.000011672
     0     5  100.000000000 3128.770506574    0.000028930    4.955577682
     0     6   50.000000000 2793.975557507  865.665646465    0.000000000
     0     6  100.000000000 3128.770506574    0.273693804    5.493900375
     0     7   50.000000000 2793.975557507    0.000152467    0.000000000
     0     7  100.000000000 3128.770506574    6.410667190    0.300620437
     0     8   50.000000000 2793.975557507    0.000000000    0.000000000
     0     8  100.000000000 3128.770506574  485.887501691    0.148963386
     0     9   50.000000000 2793.975557507    0.000000000    0.000000000
     0     9  100.000000000 3128.770506574  969.184379023    0.000305280
     1     0   50.000000000 2793.975557507    0.000000001    0.005042451
     1     0  100.000000000 3128.770506574    0.000000000    0.784359978
     1     1   50.000000000 2793.975557507    0.000004632    0.000405762
     1     1  100.000000000 3128.770506574    0.000000000    0.246228951
     1     2   50.000000000 2793.975557507    0.107050423    0.000307026
     1     2  100.000000000 3128.770506574    0.000000000    0.445030546
     1     3   50.000000000 2793.975557507    3.783320825    0.000000342
     1     3  100.000000000 3128.770506574    0.000000003    0.070601273
     1     4   50.000000000 2793.975557507   14.641326724    0.000000000
     1     4  100.000000000 3128.770506574    0.000150524    0.081151961
     1     5   50.000000000 2793.975557507    0.051575537    0.000000000
     1     5  100.000000000 3128.770506574    0.012509003    0.004499677
     1     6   50.000000000 2793.975557507    0.000000008    0.000000000
     1     6  100.000000000 3128.770506574    4.837589019    0.002126372
     1     7   50.000000000 2793.975557507    0.000000000    0.000000000
     1     7  100.000000000 3128.770506574   32.065927804    0.000011055
     1     8   50.000000000 2793.975557507    0.000000000    0.000000000
     1     8  100.000000000 3128.770506574  132.715582843    0.000015425
     1     9   50.000000000 2793.975557507    0.000000000    0.000000000
     1     9  100.000000000 3128.770506574   12.888892099    0.000000001
     2     0   50.000000000 2793.975557507    0.000005082    0.000000339
     2     0  100.000000000 3128.770506574    0.000000000    0.001253677
     2     1   50.000000000 2793.975557507    0.000602540    0.000000001
     2     1  100.000000000 3128.770506574    0.000000000    0.000267699
     2     2   50.000000000 2793.975557507    0.032621495    0.005707481
     2     2  100.000000000 3128.770506574    0.000000009    0.459881266
     2     3   50.000000000 2793.975557507    0.007490069    0.000475828
     2     3  100.000000000 3128.770506574    0.000001550    0.135864749
     2     4   50.000000000 2793.975557507    0.428653266    0.000472896
     2     4  100.000000000 3128.770506574    0.006352350    0.225347610
     2     5   50.000000000 2793.975557507    6.476291055    0.000000441
     2     5  100.000000000 3128.770506574    0.103490620    0.031993283
     2     6   50.000000000 2793.975557507   11.817076406    0.000000001
     2     6  100.000000000 3128.770506574    3.647307079    0.032561431
     2     7   50.000000000 2793.975557507    0.005368997    0.000000000
     2     7  100.000000000 3128.770506574    3.066036668    0.001438354
     2     8   50.000000000 2793.975557507    0.000000000    0.000000000
     2     8  100.000000000 3128.770506574   10.637930331    0.000721937
     2     9   50.000000000 2793.975557507    0.000000000    0.000000000
     2     9  100.000000000 3128.770506574   41.841564007    0.000006143
     3     0   50.000000000 2793.975557507    0.000000334    0.000000000
     3     0  100.000000000 3128.770506574    0.000000000    0.000000096
     3     1   50.000000000 2793.975557507    0.000000227    0.000000000
     3     1  100.000000000 3128.770506574    0.000000000    0.000000012
     3     2   50.000000000 2793.975557507    0.000016428    0.000000136
     3     2  100.000000000 3128.770506574    0.000000380    0.000521559
     3     3   50.000000000 2793.975557507    0.001742165    0.000000000
     3     3  100.000000000 3128.770506574    0.000027497    0.000098169
     3     4   50.000000000 2793.975557507    0.014802085    0.000000000
     3     4  100.000000000 3128.770506574    0.002479939    0.000147222
     3     5   50.000000000 2793.975557507    0.000347827    0.000000000
     3     5  100.000000000 3128.770506574    0.007390407    0.000009872
     3     6   50.000000000 2793.975557507    0.000000056    0.000000000
     3     6  100.000000000 3128.770506574    0.025639810    0.000010082
     3     7   50.000000000 2793.975557507    0.000000000    0.000000000
     3     7  100.000000000 3128.770506574    0.238568822    0.000000306
     3     8   50.000000000 2793.975557507    0.000000000    0.000000000
     3     8  100.000000000 3128.770506574    3.411740564    0.000000218
     3     9   50.000000000 2793.975557507    0.000000000    0.000000000
     3     9  100.000000000 3128.770506574    1.574300801    0.000000000
     4     0   50.000000000 2793.975557507    0.000000000    0.000000000
     4     0  100.000000000 3128.770506574    0.000000000    0.000000000
     4     1   50.000000000 2793.975557507    0.000000000    0.000000000
     4     1  100.000000000 3128.770506574    0.000000002    0.000000000
     4     2   50.000000000 2793.975557507    0.000001504    0.000000000
     4     2  100.000000000 3128.770506574    0.002038566    0.000000168
     4     3   50.000000000 2793.975557507    0.000000559    0.000000000
     4     3  100.000000000 3128.770506574    0.000022202    0.000000029
     4     4   50.000000000 2793.975557507    0.000032974    0.000000099
     4     4  100.000000000 3128.770506574    0.000019922    0.000000173
     4     5   50.000000000 2793.975557507    0.001393134    0.000000000
     4     5  100.000000000 3128.770506574    0.000146564    0.000000021
     4     6   50.000000000 2793.975557507    0.007948246    0.000000000
     4     6  100.000000000 3128.770506574    0.012304981    0.000230213
     4     7   50.000000000 2793.975557507    0.000100530    0.000000000
     4     7  100.000000000 3128.770506574    0.023129004    0.000044721
     4     8   50.000000000 2793.975557507    0.000000047    0.000000000
     4     8  100.000000000 3128.770506574    0.020830209    0.000067225
     4     9   50.000000000 2793.975557507    0.000000000    0.000000000
     4     9  100.000000000 3128.770506574    0.008717169    0.000005191
