   165.000000000     0.002778248     0.000005411     0.002772837    11.686516978     0.000871563
   166.000000000     0.011078300     0.000024790     0.011053511    15.438379786     0.003518405
   167.000000000     0.043208151     0.000045740     0.043162412    20.088390190     0.014177044
   168.000000000     0.161005129     0.000066222     0.160938906    25.756173208     0.056733733
   169.000000000     0.555274895     0.000092793     0.555182088    32.552721740     0.222142160
   170.000000000     1.715089644     0.000207393     1.714882177    40.089962807     0.822914668
   171.000000000     4.622850935     0.000778965     4.622071785    48.247707612     2.735621694
   172.000000000    10.723124415     0.002661071    10.720463064    57.506051655     7.725230176
   173.000000000    21.391151585     0.005593070    21.385558214    67.892835588    17.540744146
   174.000000000    37.112289048     0.006719372    37.105569441    79.415917512    30.432076754
   175.000000000    57.121576984     0.005749799    57.115827022    92.062699823    46.839692719
   176.000000000    79.899318834     0.003972093    79.895346578   105.800763792    65.517440872
   177.000000000   103.998978648     0.002399855   103.996578537   122.718801747    85.279161747
   178.000000000   124.546419876     0.001306800   124.545112665   146.964783769   102.128063408
   179.000000000   143.874729445     0.000721213   143.874007656   169.772190350   117.977277116
   180.000000000   163.522504593     0.000479303   163.522024571   192.956566336   134.088452596
   181.000000000   183.442418423     0.000440118   183.441977497   216.462065985   150.422781795
   182.000000000   203.602121112     0.000479601   203.601640703   240.250516504   166.953737856
   183.000000000   223.971493751     0.000492757   223.971000280   264.286377578   183.656623274
   184.000000000   244.519451953     0.000449105   244.519002272   288.532969627   200.505948852
   185.000000000   265.213696931     0.000368528   265.213327970   312.952180083   217.475229586
   186.000000000   286.021249715     0.000280265   286.020969140   337.505093757   234.537422720
   187.000000000   306.909146302     0.000204888   306.908941204   362.152813125   251.665497772
   188.000000000   327.845115000     0.000150901   327.844963958   386.857257586   268.832991955
   189.000000000   348.798176962     0.000117093   348.798059785   411.581872100   286.014502614
   190.000000000   369.739145891     0.000096694   369.739049138   436.292216834   303.186096986
   191.000000000   390.641016632     0.000082603   390.640933998   460.956425704   320.325630844
   192.000000000   411.479240564     0.000070382   411.479170148   485.545531335   337.412974320
   193.000000000   432.231891865     0.000058438   432.231833384   510.033661255   354.430148237
   194.000000000   452.879733552     0.000046893   452.879686653   534.398115824   371.361378273
   195.000000000   473.406195807     0.000036439   473.406159345   558.619342656   388.193077176
   196.000000000   493.797281346     0.000027639   493.797253678   582.680824953   404.913767172
   197.000000000   514.041413688     0.000020761   514.041392887   606.568902468   421.513955548
   198.000000000   534.129244149     0.000015736   534.128986703   630.272543752   437.985976382
   199.000000000   554.053432460     0.000012250   554.053420177   653.783087290   454.323810654
